country_code,region_code,name_slug,name,name_normalized,osm_relation_id,wikidata_id,is_capital,lon,lat
br,rn,passa-e-fica,Passa e Fica,Passa e Fica,301177,Q772851,,-35.64735221,-6.429115494
br,rn,passagem,Passagem,Passagem,301218,Q2309743,,-35.37556571,-6.274442213
br,rn,patu,Patu,Patu,301059,Q2078782,,-37.6401024,-6.101532067
br,rn,santa-maria,Santa Maria,Santa Maria,301107,Q1954847,,-35.69036386,-5.838518701
br,rn,pau-dos-ferros,Pau dos Ferros,Pau dos Ferros,301179,Q1759093,,-38.20326152,-6.114731839
br,rn,pedra-grande,Pedra Grande,Pedra Grande,301068,Q1802585,,-35.87599064,-5.149387434
br,rn,pedra-preta,Pedra Preta,Pedra Preta,301174,Q1857718,,-36.10313582,-5.581909156
br,rn,pedro-avelino,Pedro Avelino,Pedro Avelino,301173,Q1786870,,-36.38522926,-5.524002182
br,rn,pedro-velho,Pedro Velho,Pedro Velho,301121,Q1786891,,-35.22293924,-6.433189488
br,rn,pendencias,Pendências,Pendencias,301159,Q1786911,,-36.71914604,-5.256788171
br,rn,piloes,Pilões,Piloes,301132,Q2008056,,-38.04444316,-6.26572244
br,rn,poco-branco,Poço Branco,Poco Branco,301163,Q1802657,,-35.65501177,-5.618851504
br,rn,portalegre,Portalegre,Portalegre,301111,Q2079757,,-37.98519483,-6.024328014
br,rn,porto-do-mangue,Porto do Mangue,Porto do Mangue,301062,Q390276,,-36.78053807,-5.069670152
br,rn,serra-caiada,Serra Caiada,Serra Caiada,301141,Q2298053,,-35.70560532,-6.104912786
br,rn,pureza,Pureza,Pureza,301205,Q1802616,,-35.56226823,-5.465918586
br,rn,rafael-fernandes,Rafael Fernandes,Rafael Fernandes,301082,Q1786863,,-38.22250289,-6.186495198
br,rn,rafael-godeiro,Rafael Godeiro,Rafael Godeiro,301119,Q1802391,,-37.71597407,-6.078296648
br,rn,riacho-da-cruz,Riacho da Cruz,Riacho da Cruz,301210,Q1802639,,-37.95027471,-5.935802522
br,rn,riacho-de-santana,Riacho de Santana,Riacho de Santana,301061,Q2232145,,-38.31483303,-6.264730547
br,rn,riachuelo,Riachuelo,Riachuelo,301071,Q2066132,,-35.82627476,-5.813946965
br,rn,rodolfo-fernandes,Rodolfo Fernandes,Rodolfo Fernandes,301209,Q1802371,,-38.06287433,-5.787993612
br,rn,tibau,Tibau,Tibau,301144,Q1802343,,-37.25130267,-4.84143741
br,rn,ruy-barbosa,Ruy Barbosa,Ruy Barbosa,301114,Q2309715,,-35.93548416,-5.879428941
br,rn,santa-cruz,Santa Cruz,Santa Cruz,301176,Q1854793,,-36.02051657,-6.230075623
br,rn,santana-do-matos,Santana do Matos,Santana do Matos,301157,Q1786881,,-36.65410497,-5.957727155
br,rn,santana-do-serido,Santana do Seridó,Santana do Serido,301064,Q1786789,,-36.73685164,-6.770151753
br,rn,santo-antonio,Santo Antônio,Santo Antonio,301093,Q2008095,,-35.47513698,-6.305173921
br,rn,sao-bento-do-norte,São Bento do Norte,Sao Bento do Norte,301115,Q1786782,,-36.03543135,-5.05950106
br,rn,sao-bento-do-trairi,São Bento do Trairí,Sao Bento do Trairi,301204,Q1802608,,-36.0868875,-6.344481217
br,rn,sao-fernando,São Fernando,Sao Fernando,301060,Q1786710,,-37.18540304,-6.383861073
br,rn,sao-francisco-do-oeste,São Francisco do Oeste,Sao Francisco do Oeste,301101,Q1802806,,-38.16929618,-6.000636571
br,rn,sao-goncalo-do-amarante,São Gonçalo do Amarante,Sao Goncalo do Amarante,301213,Q2088944,,-35.33115609,-5.78955554
br,rn,sao-joao-do-sabugi,São João do Sabugi,Sao Joao do Sabugi,301156,Q1786769,,-37.20413966,-6.71122435
br,rn,sao-jose-de-mipibu,São José de Mipibu,Sao Jose de Mipibu,301099,Q734571,,-35.24027465,-6.070465712
br,rn,sao-jose-do-campestre,São José do Campestre,Sao Jose do Campestre,301081,Q1802815,,-35.71211503,-6.315563981
